Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
STXS,Stereotaxis Inc. Common Stock,$5.15,0.13,2.59%,384092346.00,United States,,122269,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$3.23,0.05,1.572%,570239836.00,,,787794,,
SVT,Servotronics Inc. Common Stock,$14.15,0.55,4.044%,35257088.00,United States,,4600,Consumer Durables,Metal Fabrications
SYN,Synthetic Biologics Inc. Common Stock,$0.2371,0.004,1.716%,31307286.00,United States,,582097,Health Care,Biotechnology: Pharmaceutical Preparations
TELL,Tellurian Inc. Common Stock,$2.38,0.12,5.31%,1140032048.00,United States,,10626751,Energy,Oil & Gas Production
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$22.12,0.22,1.005%,0.00,United States,,2692,,
TGB,Taseko Mines Ltd. Common Stock,$1.88,0.02,1.075%,533837639.00,Canada,,1184139,,
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.71,0.02,2.899%,138384811.00,Canada,,53993,,
TKAT,Takung Art Co. Ltd. Common Stock,$2.98,0.18,6.429%,41592912.00,,,638255,Consumer Services,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,$0.3484,0.0072,2.11%,22226586.00,United States,2015,306941,Consumer Durables,Specialty Chemicals
TMP,Tompkins Financial Corporation Common Stock,$80.07,0.37,0.464%,1166796214.00,United States,,18875,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$1.47,-0.04,-2.649%,212343683.00,Canada,,92326,,
TPHS,Trinity Place Holdings Inc. Common Stock,$1.79,-0.02,-1.105%,65694317.00,,,2598,Consumer Services,Real Estate
TRT,Trio-Tech International Common Stock,$7.21,0.36,5.255%,28480798.00,United States,,79672,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.3654,0.0045,1.247%,100117796.00,Canada,,967345,,
UAMY,United States Antimony Corporation Common Stock,$0.4315,0.0173,4.177%,45789850.00,United States,,176677,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$1.12,0.03,2.752%,86539482.00,United States,,948089,,
UEC,Uranium Energy Corp. Common Stock,$2.70,0.15,5.882%,749667023.00,Canada,,11001013,Basic Industries,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$1.995,-0.015,-0.746%,23407628.00,United States,2015,9479,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.21,0.07,6.14%,261376365.00,Canada,,5849962,,
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.8414,0.0614,7.872%,138315271.00,,2017,3797882,,
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$33.32,-0.14,-0.418%,2172835984.00,United States,2004,137333,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$2.64,0.05,1.931%,6106022.00,United States,,2870,Miscellaneous,Diversified Manufacture
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$6.38,0.22,3.571%,996952830.00,,,2697763,,
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$13.80,-0.10,-0.719%,66751980.00,United States,1993,11995,Finance,Finance/Investors Services
VFL,Delaware Investments National Municipal Income Fund Common Stock,$13.35,-0.04,-0.299%,60454714.00,United States,1993,2998,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.6814,-0.005,-0.728%,79852743.00,United States,,31497,,
VHAQ,Viveon Health Acquisition Corp. Common Stock,$10.07,0.01,0.099%,253323438.00,,2021,304,,
VINE,Fresh Vine Wine Inc. Common Stock,$4.65,0.37,8.645%,56730060.00,,2021,104238,Consumer Non-Durables,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$11.06,-0.08,-0.718%,490970554.00,United States,,98537,Finance,Finance Companies
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$13.67,-0.09,-0.654%,157273008.00,United States,1993,46585,Finance,Finance/Investors Services
VNRX,VolitionRX Limited Common Stock,$2.73,0.20,7.905%,146153720.00,Singapore,2015,65592,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VOLT,Volt Information Sciences Inc. Common Stock,$3.12,0.03,0.971%,68949648.00,United States,,53607,Technology,Diversified Commercial Services
VZLA,Vizsla Silver Corp. Common Shares,$1.8299,-0.0001,-0.005%,270644673.00,,2022,67866,,
WBEV,Winc Inc. Common Stock,$5.27,-0.49,-8.507%,69348826.00,,2021,26125,Consumer Non-Durables,Beverages (Production/Distribution)
WLMS,Williams Industrial Services Group Inc. Common Stock,$1.76,-0.09,-4.865%,45611284.00,,2021,294247,Capital Goods,Engineering & Construction
WRN,Western Copper and Gold Corporation Common Stock,$1.47,-0.02,-1.342%,222596404.00,Canada,2011,155170,,
WTT,Wireless Telecom Group  Inc. Common Stock,$1.80,-0.02,-1.099%,40358129.00,United States,,2341,Capital Goods,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$1.96,0.01,0.513%,69135595.00,United States,,572930,Basic Industries,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$3.90,-0.02,-0.51%,34470719.00,United States,,21152,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.49,0.0227,4.858%,30397836.00,United States,,204046,Basic Industries,Metal Mining
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.63,0.0177,2.891%,54681590.00,United States,,28848,Health Care,Medical Specialities
YCBD,cbdMD Inc. Common Stock,$0.98,-0.02,-2.00%,57381911.00,United States,2017,456653,Health Care,Biotechnology: Pharmaceutical Preparations
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$5.90,-0.09,-1.503%,,United States,,3267,,
ZDGE,Zedge Inc. Class B Common Stock ,$7.52,0.34,4.735%,108183201.00,,2016,45005,Technology,Internet and Information Services
ZOM,Zomedica Corp. Common Shares,$0.309,0.0167,5.713%,302787452.00,United States,2017,10986866,,
